MWC04 ,  MWC05 ,  X2sol ,  GATS1p ,  EEig10d ,  BELe4 ,  GGI3 ,  SP02 ,  SP08 ,  QXXm ,  V1
3.296 , 3.761 , 1.5 , 1 , 0 , 0 , 0 , 2.388 , 0.861 , 2.667 ,  affinity to liver
4.007 , 4.575 , 3.136 , 1.25 , 0 , 0 , 0 , 2.669 , 0.946 , 14.08 ,  affinity to liver
4.007 , 4.575 , 1.061 , 0.673 , 0 , 0 , 0 , 2.494 , 0.63 , 6.37 ,  affinity to liver
4.673 , 5.46 , 1.852 , 1 , 0 , 0 , 0.222 , 2.316 , 0.273 , 3.805 ,  affinity to liver
3.296 , 3.761 , 1 , 0.667 , 0 , 0 , 0 , 2.219 , 0.421 , 1.76 ,  affinity to liver
3.611 , 4.007 , 1.732 , 0.667 , 0 , 0 , 0 , 1.946 , 0.063 , 5.357 ,  affinity to liver
4.007 , 4.575 , 1.802 , 0.625 , 0 , 0 , 0 , 2.466 , 0.447 , 5.753 ,  affinity to liver
4.394 , 4.86 , 3 , 0.625 , 0 , 0.057 , 0 , 2.303 , 0.093 , 9.39 ,  affinity to liver
4.078 , 4.654 , 1.707 , 0.6 , 0 , 0.191 , 0.125 , 3.363 , 3.287 , 2.828 ,  affinity to liver
4.29 , 4.875 , 2.183 , 0.6 , 0 , 0.316 , 0.25 , 2.896 , 1.318 , 7.238 ,  affinity to liver
4.635 , 5.252 , 2.914 , 0.6 , 0 , 0.292 , 0 , 2.718 , 0.522 , 9.59 ,  affinity to liver
3.611 , 4.007 , 1.732 , 0.667 , 0 , 0 , 0 , 1.939 , 0.061 , 4.825 ,  affinity to liver
4.007 , 4.575 , 1.802 , 0.625 , 0 , 0 , 0 , 2.461 , 0.536 , 5.566 ,  affinity to liver
4.29 , 4.875 , 2.183 , 0.6 , 0 , 0.107 , 0.25 , 2.995 , 1.904 , 6.451 ,  affinity to liver
4.654 , 5.283 , 2.89 , 0.571 , 0 , 0.599 , 0.25 , 3.883 , 4.85 , 7.349 ,  affinity to liver
4.007 , 4.575 , 1.802 , 1.25 , 0 , 0 , 0 , 2.38 , 0.407 , 4.489 ,  affinity to liver
4.29 , 4.875 , 2.183 , 1.125 , 0 , 0.086 , 0.25 , 2.903 , 1.536 , 5.925 ,  affinity to liver
4.654 , 5.263 , 3.023 , 1.05 , 0 , 0.276 , 0.5 , 3.065 , 1.721 , 9.536 ,  affinity to liver
4.654 , 5.283 , 2.89 , 1 , 0 , 0.404 , 0.25 , 3.815 , 4.555 , 6.813 ,  affinity to liver
4.779 , 5.425 , 3.365 , 1 , 0 , 0.729 , 0.25 , 3.492 , 3.264 , 10.595 ,  affinity to liver
4.905 , 5.549 , 3.719 , 0.964 , 0 , 0.761 , 0.375 , 3.792 , 4.17 , 11.836 ,  affinity to liver
4.635 , 5.252 , 2.914 , 1.2 , 0 , 0.761 , 0 , 2.692 , 0.414 , 9.919 ,  affinity to liver
4.812 , 5.434 , 3.311 , 1.167 , 0 , 0.761 , 0.375 , 3.159 , 1.644 , 10.327 ,  affinity to liver
4.844 , 5.549 , 2.871 , 1.167 , 0 , 0.761 , 0.125 , 3.014 , 0.754 , 15.478 ,  affinity to liver
3.892 , 4.575 , 1.061 , 1 , 0 , 0 , 0 , 1.134 , 0.001 , 2.127 ,  affinity to liver
4.673 , 5.46 , 1.852 , 1.095 , 0 , 0 , 0.222 , 2.421 , 0.51 , 3.133 ,  affinity to liver
4.934 , 5.666 , 3.753 , 0.545 , 0 , 0 , 0 , 3.024 , 1.122 , 31.003 ,  affinity to liver
4.934 , 5.666 , 1.414 , 0.655 , 0 , 0 , 0 , 2.959 , 0.985 , 23.613 ,  affinity to liver
4.934 , 5.58 , 1.354 , 1.166 , 0 , 0 , 0.375 , 3.535 , 3.04 , 10.023 ,  affinity to liver
5.727 , 6.509 , 1.802 , 1.611 , -1.121 , 0 , 1.875 , 3.952 , 2.827 , 45.413 ,  affinity to liver
5.106 , 5.883 , 3.312 , 0.755 , 0 , 0 , 0.25 , 3.294 , 2.006 , 22.276 ,  affinity to liver
2.565 , 2.833 , 1.591 , 1.5 , 0 , 0 , 0 , 1.659 , 0.084 , 0 ,  affinity to liver
4.575 , 5.263 , 2.121 , 0 , 0 , 0 , 0 , 2.54 , 0.139 , 7.409 ,  affinity to liver
5.043 , 5.796 , 2.912 , 0 , 0 , 0.686 , 0.188 , 3.375 , 2.121 , 9.297 ,  affinity to liver
5.153 , 5.932 , 3.239 , 0 , 0 , 0.599 , 0.375 , 3.192 , 1.474 , 13.199 ,  affinity to liver
5.13 , 5.889 , 3.365 , 0 , 0 , 0.767 , 0.25 , 3.236 , 2.542 , 7.945 ,  affinity to liver
5.352 , 6.146 , 3.873 , 0 , 0 , 0.772 , 0.563 , 3.448 , 2.823 , 14.326 ,  affinity to liver
5.509 , 6.301 , 4.701 , 0 , -2 , 0.761 , 0.688 , 3.75 , 2.845 , 16.399 ,  affinity to liver
5.043 , 5.796 , 2.912 , 0 , 0 , 0.61 , 0.188 , 3.384 , 2.257 , 8.257 ,  affinity to liver
5.263 , 6.033 , 3.546 , 0 , 0 , 0.642 , 0.5 , 3.61 , 3.244 , 12.218 ,  affinity to liver
