nBM   Dz   GMTI   X1Av   EEig05x   ESpm03x   BELm6   RDF065e   RDF050p   B03[O-F]   V1
0 ,10 ,44 ,0.604 ,0 ,3.135 ,0 ,0 ,1.378 ,0 0.61
0 ,12 ,85 ,0.583 ,-0.732 ,3.401 ,0.529 ,3.798 ,3.065 ,0 0.48
0 ,14 ,146 ,0.569 ,-0.247 ,3.611 ,0.622 ,7.864 ,4.679 ,0 0.46
0 ,16 ,231 ,0.559 ,0.235 ,3.784 ,0.728 ,12.092 ,6.302 ,0 0.73
0 ,18 ,344 ,0.552 ,0.653 ,3.932 ,0.837 ,16.27 ,7.926 ,0 0.5
0 ,20 ,489 ,0.546 ,1 ,4.06 ,0.942 ,20.468 ,9.553 ,0 0.85
0 ,12 ,73 ,0.554 ,-0.675 ,3.738 ,0.376 ,0 ,1.988 ,0 1.04
0 ,14 ,122 ,0.551 ,-0.374 ,3.892 ,0.651 ,0.825 ,1.499 ,0 0.93
0 ,18 ,320 ,0.534 ,0.261 ,4.143 ,0.9 ,10.575 ,6.94 ,0 0.74
0 ,12 ,57 ,0.512 ,-0.514 ,4.277 ,0 ,0 ,0.281 ,0 1.13
0 ,16 ,159 ,0.488 ,0 ,4.585 ,1.067 ,1.595 ,2.823 ,0 0.8
0 ,6 ,12 ,0.5 ,0 ,3.332 ,0 ,0 ,0 ,0 0.02
0 ,12 ,95 ,0.482 ,-0.618 ,4.007 ,0.353 ,0 ,0.071 ,0 0.96
0 ,12 ,108 ,0.5 ,0 ,3.761 ,0.484 ,0 ,0.432 ,0 0.88
0 ,14 ,157 ,0.485 ,0 ,4.127 ,0.568 ,0 ,1.058 ,0 0.71
0 ,16 ,214 ,0.476 ,0.268 ,4.394 ,0.574 ,0 ,1.777 ,0 1.17
0 ,20 ,400 ,0.461 ,0.277 ,4.828 ,1.249 ,0.876 ,5.287 ,0 0.3
0 ,20 ,533 ,0.412 ,1.618 ,4.977 ,0.733 ,2.577 ,1.049 ,0 0.98
1 ,4 ,1 ,0.5 ,0 ,2.197 ,0 ,0 ,0 ,0 0.24
1 ,6 ,6 ,0.493 ,0 ,2.944 ,0 ,0 ,0 ,0 -0.07
1 ,16 ,231 ,0.503 ,0.382 ,3.989 ,0.658 ,6.789 ,5.523 ,0 0.8
2 ,8 ,19 ,0.383 ,0 ,3.584 ,0 ,0 ,0.006 ,0 -0.26
2 ,10 ,36 ,0.388 ,0 ,4.06 ,0 ,0 ,0.066 ,0 0.32
0 ,9 ,6 ,0.267 ,0 ,2.197 ,0 ,0 ,0 ,0 0.24
0 ,6.667 ,6 ,0.802 ,0 ,2.197 ,0 ,0 ,0 ,0 -0.11
0 ,9 ,15 ,0.655 ,0 ,3.332 ,0 ,0 ,0 ,0 0.13
0 ,11.333 ,28 ,0.567 ,0 ,4.174 ,0 ,0 ,0 ,0 0.53
0 ,8.667 ,15 ,0.629 ,0 ,3.332 ,0 ,0 ,0 ,0 0.15
0 ,8.667 ,19 ,0.701 ,0 ,2.773 ,0 ,0 ,0 ,0 0.16
0 ,11 ,28 ,0.55 ,0 ,4.174 ,0 ,0 ,0 ,0 0.44
0 ,11 ,36 ,0.63 ,0 ,3.555 ,0 ,0 ,0 ,0 0.19
0 ,13.333 ,57 ,0.571 ,-0.514 ,4.277 ,0 ,0 ,0 ,0 0.4
0 ,13.333 ,61 ,0.59 ,-0.562 ,3.989 ,0 ,0 ,0 ,0 0.16
0 ,15.667 ,90 ,0.55 ,0 ,4.511 ,0 ,0 ,0 ,0 0.39
0 ,18 ,127 ,0.522 ,0 ,4.852 ,0 ,0 ,0 ,0 0.81
0 ,8.333 ,19 ,0.67 ,0 ,2.773 ,0 ,0 ,0 ,0 0.12
0 ,8.333 ,15 ,0.603 ,0 ,3.332 ,0 ,0 ,0 ,0 0.18
0 ,10.667 ,36 ,0.611 ,0 ,3.555 ,0 ,0 ,0 ,0 0.25
0 ,5.5 ,6 ,1.389 ,0 ,2.197 ,0 ,0 ,0 ,0 -0.04
0 ,7.5 ,19 ,1.092 ,0 ,2.773 ,0 ,0 ,0 ,0 0
0 ,7.75 ,19 ,0.865 ,0 ,2.773 ,0 ,0 ,0.558 ,0 -0.06
0 ,7.75 ,15 ,0.763 ,0 ,3.332 ,0 ,0 ,0 ,0 0
0 ,7.833 ,6 ,0.535 ,0 ,2.197 ,0 ,0 ,0 ,0 -0.17
0 ,6.083 ,6 ,1.095 ,0 ,2.197 ,0 ,0 ,0 ,0 0.26
0 ,8.417 ,15 ,0.814 ,0 ,3.332 ,0 ,0 ,0 ,0 0
0 ,7.833 ,15 ,0.974 ,0 ,3.332 ,0 ,0 ,0 ,0 0.22
0 ,12.167 ,28 ,0.456 ,0 ,4.174 ,0 ,0 ,0 ,0 0.2
0 ,8.083 ,19 ,0.897 ,0 ,2.773 ,0 ,0 ,0 ,0 0.03
0 ,16.833 ,57 ,0.344 ,-0.514 ,4.277 ,0 ,0 ,0 ,0 0.17
0 ,19.167 ,90 ,0.361 ,0 ,4.511 ,0 ,0 ,0 ,0 0.06
1 ,11 ,15 ,0.244 ,0 ,3.714 ,0 ,0 ,0 ,0 0.64
1 ,8.667 ,15 ,0.496 ,0 ,3.714 ,0 ,0 ,0 ,0 -0.05
1 ,8.667 ,19 ,0.548 ,0 ,3.367 ,0 ,0 ,0 ,0 0.02
1 ,8.667 ,19 ,0.548 ,0 ,3.367 ,0 ,0 ,0 ,0 0.07
1 ,11 ,36 ,0.519 ,0 ,3.932 ,0 ,0 ,0 ,0 0.27
