2,737;10,57;-0,313;84,18;4,68;9,59;17,3;9;0,53;0,96;0,59;1,5;18;6;18;6;6;0;0;12;6;24;24;24;24;4,159;2;2;0,49;12;13,183;9;0,356;132;132;108;108;5,382;0;27;1,8;7,833;10;17,5;0;0,667;1,792;42;8,5;63
2,989;12,33;-0,267;98,21;4,68;11,18;20,19;10,83;0,53;0,96;0,59;1,55;21;7;21;7;7;0;0;14;7;30;30;31;31;4,564;1,826;1,919;0,468;14;17,341;12;0,337;193;193;157;157;6,529;2,229;42;2;9,618;12,917;29,333;0;0,975;1,792;71;10,6;90
3,241;14,09;-0,42;112,24;4,68;12,78;23,07;12,67;0,53;0,96;0,59;1,58;24;8;24;8;8;0;0;16;8;36;36;39;39;4,97;1,714;1,861;0,449;16;21,574;15;0,311;264;264;214;214;7,576;3,484;60;2,143;11,514;16,167;44;0;0,854;1,792;106;12,867;124
3,493;15,85;-0,302;126,27;4,68;14,38;25,95;14,5;0,53;0,96;0,59;1,61;27;9;27;9;9;0;0;18;9;42;42;46;46;5,375;1,636;1,817;0,431;18;26,215;18,667;0,302;357;357;291;291;8,654;4,806;84;2,333;13,401;19,533;62,667;0;1,06;1,792;160;15,133;162
3,903;17,61;0,014;140,3;4,68;15,98;28,84;16,08;0,53;0,96;0,59;1,61;30;10;30;10;10;1;0,033;20;10;48;48;52;52;5,951;1,644;1,813;0,41;20;31,117;22,8;0,295;478;478;400;400;9,809;5,097;114;2,533;15,28;23,017;91,833;0;1,726;1,792;233;17,4;198
3,001;16,09;-0,618;136,26;5,24;14,78;25,07;14,33;0,57;0,96;0,62;1,43;26;10;28;12;12;0;0;16;10;60;60;75;75;8,553;2,308;2,352;0,342;20;29,657;19,6;0,25;518;518;533;533;9,39;0;98;2,178;17,924;25,583;57;9,027;0,912;4,605;176;20,167;344
0,947;3,52;-0,04;28,06;4,68;3,2;5,77;6;0,53;0,96;0,59;3;6;2;5;1;2;0;0;4;2;2;8;1;4;0;1;1;0;4;0;1;0,707;4;12;1;4;0;0;1;1;1;1;1;-0,602;1;0;1;1;1
1,35;5,28;-0,055;42,09;4,68;4,79;8,65;7;0,53;0,96;0,59;2,33;9;3;8;2;3;0;0;6;3;6;14;4;9;0,693;1,2;1,26;1,201;6;2,89;2,667;0,577;16;29;6;13;1,655;1,177;4;1,333;2,25;2,5;4;-1,409;1,333;0;5;2,333;4
3,631;14,09;-0,113;112,24;4,68;12,78;23,07;14,5;0,53;0,96;0,59;1,81;24;8;23;7;8;5;0,217;16;8;26;34;24;30;4,159;1,6;1,682;0,49;16;24,172;21;0,463;306;364;231;318;8,584;4,129;84;3;9,502;13,743;84;-9,743;3,284;0;210;10,564;84
4,087;15,85;-0,144;126,27;4,68;14,38;25,95;16;0,53;0,96;0,59;1,78;27;9;26;8;9;6;0,231;18;9;30;38;28;34;4,852;1,636;1,714;0,454;18;29,343;26,667;0,456;438;511;344;459;9,835;4,605;120;3,333;11,029;16,461;120;-12,277;3,685;0;330;12,342;120
