X3v   GGI4   G(F..F)   RDF070e   RDF115e   RDF095p   Mor25m   Mor26p   Mor32p   E3u   H5v   H5p   RTm+   MLOGP2   F03[C-Cl]   V1
0.707 ,0 ,0 ,0.028 ,0 ,0 ,-0.083 ,-0.019 ,-0.036 ,0.588 ,0 ,0 ,0.044 ,9.85 ,0 ,0.61
0.957 ,0.08 ,0 ,0.915 ,0 ,0 ,-0.108 ,-0.021 ,-0.02 ,0.6 ,0.007 ,0.011 ,0.044 ,12.363 ,0 ,0.48
1.207 ,0.08 ,0 ,1.041 ,0 ,0.004 ,-0.137 ,-0.023 ,-0.013 ,0.609 ,0.01 ,0.016 ,0.044 ,14.972 ,0 ,0.46
1.457 ,0.08 ,0 ,1.325 ,0 ,0.07 ,-0.169 ,-0.039 ,0.008 ,0.615 ,0.042 ,0.061 ,0.043 ,17.664 ,0 ,0.73
1.707 ,0.08 ,0 ,1.581 ,0 ,0.066 ,-0.198 ,-0.048 ,0.02 ,0.62 ,0.088 ,0.12 ,0.041 ,20.431 ,0 ,0.5
1.957 ,0.08 ,0 ,1.853 ,3.612 ,0.067 ,-0.225 ,-0.062 ,0.043 ,0.625 ,0.129 ,0.174 ,0.04 ,23.266 ,0 ,0.85
0.866 ,0 ,0 ,0.023 ,0 ,0 ,-0.093 ,-0.035 ,-0.051 ,0.342 ,0.02 ,0.032 ,0.044 ,12.363 ,0 ,1.04
1.478 ,0.08 ,0 ,0 ,0 ,0 ,-0.178 ,0.017 ,-0.044 ,0.513 ,0.048 ,0.077 ,0.048 ,14.972 ,0 ,0.93
1.635 ,0.16 ,0 ,3.323 ,0 ,0.229 ,-0.162 ,-0.044 ,-0.042 ,0.356 ,0.075 ,0.109 ,0.044 ,20.431 ,0 ,0.74
1.061 ,0 ,0 ,0 ,0 ,0 ,-0.089 ,-0.066 ,0.011 ,0.573 ,0.033 ,0.054 ,0.046 ,12.363 ,0 ,1.13
1.021 ,0 ,0 ,0.021 ,0 ,0 ,-0.097 ,-0.086 ,-0.038 ,0.403 ,0.081 ,0.11 ,0.037 ,17.664 ,0 ,0.8
