"TI2" "IC3" "EEig02r" "EEig09r" "BEHv6" "SP14" "RDF040e" "RDF045e" "R6p" "RNCG"
"109" 0.667 1 2 0 0.752 0 1.685 0.216 0 0.167
"111" 1.481 3.197 2.496 0 1.069 0.036 4.065 3.672 0.093 0.198
"112" 0.854 2.642 2.414 0 0.903 0.007 7.669 3.695 0.036 0.175
"114" 1.14 2.197 3 0 1.069 0.163 4.485 3.603 0.059 0.175
"115" 1.06 2.843 3.077 -1 1.801 0.184 9.043 5.329 0.119 0.157
"116" 1.726 2.75 3 -0.768 2.414 0.095 8.955 9.221 0.193 0.154
"117" 1.481 3.203 2.496 0 1.069 0.051 4.142 2.307 0.073 0.207
"118" 1.487 3.892 2.97 -1 1.268 0.366 5.595 3.722 0.134 0.186
"119" 1.544 3.471 3.083 -1 1.227 0.79 5.453 3.985 0.082 0.187
"121" 1.833 3.057 3.268 -0.526 1.069 1.411 4.821 1.647 0.059 0.15
"122" 0.579 2.281 1.618 0 0 0 0.128 0.41 0 0.285
"7" 4.086 2.483 2.618 -0.902 2.042 7.505 3.7 1.483 0.178 0.125
"12" 3.449 3.417 2.688 0 1.978 4.15 5.002 4.282 0.185 0.138
"15" 2.097 2.67 3 0 2.246 0.037 7.543 8.064 0.249 0.157
"19" 0.667 0.918 2 0 1.204 0 6.209 0.155 0 0.167
"28" 3.685 3.708 2.532 0 1.767 5.642 6.212 2.838 0.171 0.149
"29" 4.086 3.615 2.618 -0.902 1.976 7.273 6.748 3.003 0.179 0.135
"31" 1.542 3.027 1.311 0 0.298 0 4.264 0.979 0 0.26
"33" 1 -999 0 0 0 0 0 0 0 0.604
"36" 0.8 -999 -0.6 0 0 0 0 0 0 0.25
"37" 1.333 1.459 -0.344 0 0.298 0 0 0 0 0.481
"39" 1.707 0.918 0.4 0 0.298 0 0 0 0 0.283
"40" 0.8 1 -0.168 0 0.298 0 0 0 0 0.604
"47" 1 1.571 0 0 0.298 0 0.033 0.044 0 0.35
"54" 1.333 -999 -0.651 0 0 0 0 0 0 0.773
"67" 1.521 0 1.4 0 0 0.007 0.005 0.008 0 0.5
"68" 1.333 1.5 -0.409 0 0 0 0.143 0 0 0.589
"73" 2.094 3.19 1.549 0 0.298 0.024 3.179 1.367 0.022 0.356
"82" 2.133 2.971 2.772 0 1.124 0.034 4.081 3.495 0.102 0.226
"86" 2.535 3.293 2.34 0 0.459 0.34 6.552 5.45 0.121 0.285
"90" 3.449 3.762 2.687 0 1.667 3.736 7.744 4.97 0.138 0.228
"92" 2.094 2.073 1.566 0 0.298 0.013 7.186 4.549 0.066 0.376
"96" 2.094 2.187 1.566 0 0.298 0.011 1.852 5.115 0.029 0.341
"102" 2.222 3.252 2.805 -1.012 0.409 0.208 6.389 4.473 0 0.316
"103" 2.44 3.022 2.937 -1.011 0.409 0.185 6.431 2.529 0 0.265
"106" 2.052 2.873 2 0 0.298 0.019 1.731 0.111 0 0.293
"107" 1.521 1.959 2 0 0.298 0.001 2.155 1.444 0 0.292
"110" 0.975 2.873 2.414 0 0.901 0.004 3.163 1.901 0.022 0.199
"113" 1.069 2.864 2.879 0 0.995 0.029 4.624 3.409 0.1 0.176
"120" 0.975 2.689 2.352 0 0.83 0.007 3.912 1.418 0 0.184
