ALOGP   Sp   Mor29u   MW   AMW   Sv   Se   Ss   Pol   Mv   Me   Mp   Ms   nAT   nSK   nBT
16 ,0 ,0 ,1 ,0 ,2.618 ,-0.388 ,-0.559 ,-0.05 ,0.813 ,0.581 ,0.023 ,0 ,2 ,0 ,0.61
24 ,1 ,0.693 ,1 ,0 ,2.732 ,-0.519 ,-0.713 ,-0.032 ,0.86 ,1 ,0.022 ,0.011 ,2 ,0 ,0.48
33 ,2 ,1.099 ,1 ,0 ,2.802 ,-0.551 ,-0.855 ,-0.025 ,0.888 ,0.566 ,0.021 ,0.016 ,2 ,0 ,0.46
44 ,3 ,1.386 ,1 ,0 ,2.848 ,-0.594 ,-0.986 ,0.001 ,0.911 ,1 ,0.021 ,0.061 ,2 ,0 ,0.73
56 ,4 ,1.609 ,1 ,1 ,2.879 ,-0.661 ,-1.119 ,0.009 ,0.926 ,0.501 ,0.021 ,0.12 ,2 ,0 ,0.5
70 ,5 ,1.792 ,1 ,1 ,2.902 ,-0.697 ,-1.224 ,0.025 ,0.939 ,0.935 ,0.02 ,0.174 ,2 ,0 ,0.85
20 ,0 ,0 ,1 ,0 ,3.214 ,-0.629 ,-0.465 ,-0.003 ,0.72 ,0.213 ,0.032 ,0.032 ,3 ,0 ,1.04
28 ,1 ,0.693 ,1 ,0 ,3.334 ,-1.025 ,-0.557 ,-0.092 ,0.59 ,0.189 ,0.037 ,0.077 ,3 ,0 ,0.93
51 ,4 ,1.609 ,1 ,0 ,3.235 ,-0.884 ,-0.859 ,0.046 ,0.88 ,0.183 ,0.029 ,0.109 ,3 ,0 ,0.74
16 ,0 ,0 ,0 ,0 ,4.086 ,-0.766 ,-0.736 ,0.111 ,0.507 ,0.223 ,0.053 ,0.054 ,4 ,0 ,1.13
28 ,0 ,0 ,1 ,0 ,4.125 ,-0.888 ,-1.048 ,0.293 ,0.618 ,0.2 ,0.047 ,0.11 ,5 ,0 ,0.8
3 ,0 ,0 ,0 ,0 ,3 ,-0.385 ,-0.406 ,-0.137 ,0.396 ,0.386 ,0.048 ,0 ,0 ,0 ,0.02
