ALOGP   Sp   Mor29u   MW   AMW   Sv   Se   Ss   Pol   Mv   Me
6 ,9.51 ,0 ,0 ,0 ,-0.068 ,-0.123 ,0 ,0 ,0 ,0.02
6 ,9.51 ,0 ,0 ,0.004 ,0.041 ,-0.077 ,0 ,0 ,0 ,0.07
8 ,13.51 ,0 ,0 ,0.004 ,0.02 ,-0.104 ,0 ,0 ,0 ,0.27
10 ,5.51 ,0 ,0 ,0.004 ,0.16 ,-0.143 ,0 ,0 ,0 ,0.66
4 ,13.51 ,0 ,0 ,0.085 ,-0.001 ,0.105 ,0 ,0 ,0 ,0.03
8 ,13.51 ,0 ,0 ,0.288 ,0.189 ,-0.106 ,0 ,0 ,0 ,-0.02
6 ,34.265 ,0 ,0 ,0.56 ,-0.042 ,0.293 ,0 ,0 ,0 ,0.05
8 ,43.848 ,0 ,0 ,0.803 ,-0.006 ,0.396 ,0.057 ,0 ,0 ,0.02
8 ,39.094 ,0 ,0 ,0.347 ,0.109 ,0.369 ,0 ,0 ,0 ,0.02
8 ,25.319 ,0 ,0 ,0.11 ,0.144 ,0.339 ,0 ,0 ,0 ,0.01
10 ,53.549 ,0 ,0 ,0.985 ,-0.001 ,0.462 ,0.054 ,0 ,0 ,0.22
10 ,42.529 ,0 ,0 ,0.982 ,0.055 ,0.471 ,0 ,0 ,0 ,0.09
6 ,15.71 ,0 ,0 ,0.016 ,-0.016 ,0.262 ,0 ,0 ,0 ,0.02
14 ,71.088 ,-0.238 ,-1.719 ,0.953 ,0.263 ,0.626 ,0.04 ,0 ,0 ,0.3
12 ,47.222 ,0 ,0 ,1.993 ,0.123 ,0.379 ,0.068 ,0 ,0 ,0.62
14 ,66.929 ,-0.111 ,-1.579 ,2.291 ,0.079 ,0.471 ,0.046 ,0 ,0 ,0.51
14 ,62.174 ,-0.333 ,-1.417 ,1.83 ,-0.017 ,0.438 ,0.053 ,0 ,0 ,0.73
16 ,77.022 ,-0.357 ,-0.994 ,2.558 ,0.124 ,0.553 ,0.04 ,0 ,0 ,0.66
16 ,77.777 ,-0.036 ,-1 ,2.438 ,-0.035 ,0.582 ,0.038 ,0 ,0 ,0.76
8 ,31.094 ,0 ,0 ,2.877 ,0.09 ,0.355 ,0.069 ,0 ,0 ,-0.17
10 ,37.02 ,0 ,0 ,2.243 ,0.108 ,0.434 ,0 ,0 ,0 ,0.17
12 ,42.464 ,0 ,0 ,2.912 ,0.039 ,0.616 ,0.049 ,0 ,0 ,0.45
12 ,54.954 ,0 ,0 ,3.272 ,0.165 ,0.576 ,0.056 ,0 ,0 ,0.28
8 ,24.054 ,0 ,0 ,0.749 ,0.121 ,0.075 ,0.073 ,0 ,0 ,0.07
6 ,9.651 ,0 ,0 ,0 ,0.081 ,0.16 ,0 ,0 ,0 ,-0.07
10 ,22 ,0 ,0 ,0 ,-0.008 ,0.234 ,0 ,0 ,0 ,-0.56
12 ,19.245 ,0 ,0 ,0.384 ,0.296 ,-0.03 ,0 ,0 ,0 ,0.29
12 ,19.245 ,0 ,0 ,0.013 ,0.151 ,-0.012 ,0 ,0 ,0 ,0.23
18 ,39.02 ,-0.151 ,0.51 ,0.808 ,0.467 ,-0.006 ,0 ,0 ,1 ,0.27
22 ,39.094 ,0.563 ,0.51 ,1.08 ,0.475 ,0.039 ,0 ,0 ,0 ,0.63
14 ,34.265 ,0 ,-1.292 ,1.303 ,0.054 ,-0.002 ,0 ,0 ,2 ,0.19
10 ,37.351 ,0 ,0 ,0.304 ,-0.022 ,0.319 ,0 ,1 ,0 ,-0.13
4 ,0 ,0 ,0 ,0 ,0.004 ,0.154 ,0 ,0 ,0 ,0.48
12 ,12 ,0 ,0 ,0.681 ,0.376 ,0.113 ,0 ,0 ,0 ,0.21
14 ,35.484 ,0 ,-2 ,1.288 ,0.425 ,0.185 ,0.068 ,0 ,0 ,0.5
16 ,49.939 ,1 ,-1.422 ,1.471 ,0.38 ,0.324 ,0.054 ,0 ,0 ,0.31
16 ,43.549 ,0 ,-1.286 ,2.623 ,0.067 ,0.403 ,0.046 ,0 ,0 ,0.34
16 ,45.549 ,0 ,-1.357 ,1.891 ,0.434 ,0.264 ,0.084 ,0 ,0 ,0.37
16 ,39.549 ,1 ,-1.396 ,1.832 ,0.403 ,0.243 ,0.032 ,0 ,0 ,0.34
20 ,58.39 ,1 ,-1 ,3.676 ,0.307 ,0.524 ,0.042 ,0 ,0 ,0.49
18 ,65.956 ,1 ,-1.21 ,2.276 ,0.259 ,0.187 ,0.074 ,0 ,0 ,0.23
18 ,61.956 ,1 ,-1.053 ,2.215 ,0.306 ,0.173 ,0.045 ,0 ,0 ,0.14
4 ,3 ,0 ,0 ,0 ,-0.156 ,0.025 ,0 ,1 ,0 ,-0.04
10 ,45.909 ,0 ,0 ,1.869 ,0.209 ,0.737 ,0.052 ,0 ,0 ,1.06
14 ,65.682 ,1 ,-1.833 ,1.332 ,0.197 ,0.789 ,0.034 ,0 ,0 ,0.52
18 ,78.451 ,1 ,-1 ,1.872 ,0.368 ,0.975 ,0.03 ,0 ,0 ,0.76
14 ,45.244 ,0 ,-1.732 ,4.696 ,0.119 ,1.014 ,0.045 ,0 ,0 ,0.7
18 ,70.833 ,1 ,-1.414 ,3.165 ,-0.022 ,1.073 ,0.038 ,0 ,0 ,0.86
16 ,81.653 ,1 ,-1.417 ,2.368 ,0.23 ,0.755 ,0.032 ,0 ,0 ,0.93
18 ,87.432 ,1 ,-1.05 ,2.647 ,0.32 ,0.834 ,0.029 ,0 ,0 ,1.06
2 ,4.056 ,0 ,0 ,0 ,-0.08 ,0.03 ,0 ,0 ,0 ,0.23
4 ,17.245 ,0 ,0 ,0 ,0.006 ,0.168 ,0 ,0 ,0 ,0.07
4 ,13.51 ,0 ,0 ,0 ,-0.018 ,-0.025 ,0 ,0 ,0 ,0.03
10 ,34.054 ,0 ,0 ,0.302 ,0.114 ,0.246 ,0 ,0 ,0 ,-0.23
6 ,25.51 ,0 ,0 ,0.007 ,0.049 ,0.289 ,0 ,0 ,0 ,-0.03
10 ,52.794 ,-1 ,0 ,1.065 ,0.065 ,0.489 ,0.05 ,0 ,0 ,0.41
8 ,36.596 ,0 ,0 ,0.265 ,-0.076 ,0.379 ,0 ,0 ,0 ,0.12
