"piPC09" "AAC" "ATS6m" "MATS3p" "JGI2" "QYYm" "Mor19v" "R4m" "RTv" "nOHp"
"115" 0 0.985 0 1 0.111 32.319 0.408 0.129 4.3 0
"116" 0 0.98 0 1 0.095 45.19 0.455 0.207 5.604 0
"117" 0 1 0 1 0.049 26.997 0.068 0.126 4.423 0
"118" 0 0.998 0 1 0.061 36.75 0.148 0.136 4.236 0
"119" 0 0.998 0.693 1 0.081 42.2 0.135 0.113 4.26 0
"121" 0 1.746 2.709 -0.178 0.111 97.04 0.059 0.579 4.209 0
"122" 0 1.392 0 0 0 5.072 0.07 0.002 2.09 0
"7" 0.693 0.896 1.609 1 0.028 159.212 0.82 0.066 4.466 0
"12" 0 0.894 1.386 1 0.056 95.62 0.827 0.073 4.614 0
"15" 0 0.89 0 1 0.067 33.531 0.717 0.17 5.201 0
"19" 0 0.918 0 1 0 9.651 0.709 0.045 4.3 0
"28" 0 0.918 1.386 1 0.032 111.864 0.662 0.071 4.31 0
"29" 1.099 0.918 1.609 1 0.028 152.982 0.737 0.073 4.541 0
"31" 0 0.961 0 1 0.111 10.033 0.213 0.046 2.742 0
"33" 0 1.371 0 0 0 7.795 0.026 0 0.981 0
"36" 0 0.722 0 0 0 24.388 0.148 0 3.132 0
"37" 0 1.299 0 0 0 10.064 0.137 0 2.047 0
"39" 0 1.5 0 1 0.111 19.05 0.058 0 2.739 0
"40" 0 1.561 0 0 0 28.382 0.165 0 3.631 0
"47" 0 1.241 0 0 0 14.867 0.23 0.006 2.884 0
"54" 0 1.922 0 0 0 24.412 0.004 0 1.936 0
"67" 0 0.918 0 0.5 0.148 30.176 -0.137 0 2.888 0
"68" 0 1.459 0 0 0 28.401 0.073 0 1.427 0
"73" 0 1.159 0 -0.375 0.074 22.069 0.33 0.072 2.769 1
"82" 0 1.167 0 -0.125 0.063 29.832 0.503 0.209 4.026 0
"86" 0 1.333 0 -0.3 0.074 36.941 0.291 0.111 3.114 0
"90" 0 1.265 1.466 -0.143 0.056 91.84 0.456 0.096 3.744 0
"92" 0 1.159 0 0.25 0.074 18.59 0.278 0.053 2.695 0
"96" 0 1.322 0 0.25 0.074 16.625 0.038 0.044 1.725 0
"102" 0 2.055 0 -0.393 0.137 62.528 -0.017 1.342 3.19 0
"103" 0 2.055 0 -0.209 0.12 58.872 0.011 1.337 3.205 0
"106" 0 1.669 0 -0.949 0.089 29.009 0.269 0.155 2.735 0
"107" 0 1.669 0 -1.169 0.148 17.201 0.262 0.12 3.034 0
"110" 0 0.997 0 1 0.056 16.872 0.143 0.068 3.546 0
"113" 0 0.991 0 1 0.067 23.539 0.224 0.104 3.855 0
"120" 0 1.325 0 -0.3 0.056 34.204 0.004 0.15 3.245 0
