"ALOGP" "Sp" "Mor29u" "MW" "Se" "Pol"
"111" 1.131 11.02 -0.115 100.18 18.63 0.53
"112" 0.021 6.19 0.032 74.09 11.31 0.53
"113" 0.37 7.95 -0.039 88.12 14.19 0.53
"114" 0.894 9.72 -0.064 102.15 17.07 0.53
"115" 1.142 7.31 0.043 126.09 14.4 0.56
"116" 2.534 7.05 0.087 184.5 14.75 0.6
"117" 1.018 7.2 0.052 89.11 13.41 0.52
"118" 3.289 13.57 -0.027 120.21 20.3 0.6
"119" 2.382 11.05 -0.036 104.16 15.53 0.65
"120" 2.494 9.14 -0.001 112.56 11.97 0.71
"121" 3.437 10.72 -0.112 180.56 16.4 0.7
"122" 0.934 5.98 0.039 68.08 9.09 0.63
