"ALOGP" "Sp" "MW" "Ss" "Mv" "Mp" "nAT" "nSK" "SCBO" "ARR" "RBF" "nH" "nN" "nO" "nF" "nCL" "nX" "ZM1" "ZM2V" "GNar" "Xt" "Dz" "Ram" "VDA" "MSD" "SMTIV" "GMTIV" "Har" "Har2" "QW" "TI1" "HyDp" "w" "ww" "D/D" "Wap" "Whetm" "Whetv" "Jhetm" "Jhete" "Jhetp" "MAXDP" "TIE" "S0K" "CSI" "AECC" "UNIP" "D/Dr03" "T(O..F)" "T(F..Cl)" "T(F..Br)" "MWC01" "MWC02" "MWC04" "MWC07" "MWC08" "MWC09" "MWC10" "TWC" "SRW02" "SRW04" "SRW05" "SRW09" "MPC03" "MPC04" "MPC05" "MPC07" "piPC02" "piPC04" "piPC05" "piPC07" "PCR" "PCD" "BID" "X1" "X4" "X1A" "X4A" "X5A" "X1v" "X2v" "X3v" "X1Av" "X2Av" "X4Av" "X0sol" "X1sol" "X2sol" "X3sol" "X4sol" "X5sol" "XMOD" "RDCHI" "RDSQ" "ISIZ" "AAC" "IDE" "IDM" "IDDM" "IDET" "IDMT" "IVDE" "HDcpx" "Vindex" "Yindex" "CIC0" "BIC0" "IC1" "TIC1" "IC2" "TIC2" "SIC2" "CIC2" "IC3" "CIC3" "SIC4" "BIC4" "IC5" "TIC5" "BIC5" "ATS1m" "ATS3m" "ATS4m" "ATS5m" "ATS7m" "ATS8m" "ATS2v" "ATS3v" "ATS4v" "ATS6v" "ATS2e" "ATS3e" "ATS4e" "ATS5e" "ATS1p" "ATS2p" "ATS3p" "ATS6p" "ATS8p" "MATS1m" "MATS4m" "MATS6m" "MATS8m" "MATS3v" "MATS5v" "MATS7v" "MATS8v" "MATS2e" "MATS3e" "MATS8e" "MATS1p" "MATS8p" "GATS1m" "GATS2m" "GATS3m" "GATS5m" "GATS6m" "GATS3v" "GATS5v" "GATS6v" "GATS4p" "GATS5p" "GATS6p" "EPS0" "EEig01x" "EEig08x" "EEig09x" "EEig10x" "EEig02d" "EEig03d" "EEig04d" "EEig06d" "EEig08d" "EEig10d" "EEig11d" "EEig01r" "EEig02r" "EEig04r" "EEig06r" "EEig07r" "EEig08r" "EEig11r" "ESpm03u" "ESpm06u" "ESpm07u" "ESpm09u" "ESpm10u" "ESpm11u" "ESpm12u" "ESpm14u" "ESpm04x" "ESpm05x" "ESpm10x" "ESpm11x" "ESpm12x" "ESpm01d" "ESpm02d" "ESpm03d" "ESpm04d" "ESpm05d" "ESpm06d" "ESpm07d" "ESpm08d" "ESpm09d" "ESpm11d" "ESpm12d" "ESpm14d" "ESpm15d" "ESpm02r" "ESpm03r" "ESpm04r" "ESpm05r" "ESpm11r" "ESpm13r" "ESpm14r" "ESpm15r" "BEHm1" "BEHm2" "BEHm4" "BEHm5" "BEHm8" "BELm1" "BELm3" "BELm6" "BELm8" "BEHv1" "BEHv2" "BEHv6" "BEHv7" "BEHv8" "BELv2" "BELv3" "BELv5" "BELv6" "BELv8" "BEHe3" "BEHe6" "BEHe8" "BELe7" "BEHp3" "BEHp5" "BEHp8" "BELp3" "BELp5" "BELp7" "GGI1" "GGI4" "GGI6" "GGI7" "JGI1" "JGI2" "JGI3" "JGI5" "JGT" "LP1" "Eig1m" "SEigZ" "SEigm" "SEigv" "AEigm" "AEige" "VEA1" "VRA1" "VED1" "VRD1" "VEZ2" "VRZ2" "VEm1" "VEm2" "VRm2" "VEv1" "VEv2" "VRv2" "VEe1" "VEe2" "VRe2" "VEp1" "VRp2" "DP01" "DP02" "DP08" "DP09" "DP10" "DP13" "DP16" "DP18" "DP19" "DP20" "SP02" "SP04" "SP06" "SP07" "SP08" "SP11" "SP13" "SP14" "SP15" "SP17" "SHP2" "ADDD" "G1" "G2" "RGyr" "SPAN" "ASP" "PJI3" "L/Bw" "SEig" "HOMA" "AROM" "QXXm" "QYYm" "QZZm" "QYYv" "QZZv" "QXXe" "QYYe" "QZZe" "QXXp" "G(O..F)" "G(O..Cl)" "G(Cl..Cl)" "RDF010u" "RDF015u" "RDF020u" "RDF030u" "RDF035u" "RDF040u" "RDF050u" "RDF055u" "RDF060u" "RDF080u" "RDF085u" "RDF090u" "RDF095u" "RDF105u" "RDF110u" "RDF115u" "RDF010m" "RDF035m" "RDF040m" "RDF060m" "RDF065m" "RDF075m" "RDF080m" "RDF085m" "RDF090m" "RDF100m" "RDF120m" "RDF015v" "RDF025v" "RDF030v" "RDF040v" "RDF045v" "RDF070v" "RDF080v" "RDF100v" "RDF105v" "RDF115v" "RDF120v" "RDF130v" "RDF010e" "RDF020e" "RDF025e" "RDF035e" "RDF065e" "RDF090e" "RDF100e" "RDF110e" "RDF120e" "RDF130e" "RDF010p" "RDF015p" "RDF040p" "RDF045p" "RDF055p" "RDF065p" "RDF080p" "RDF095p" "RDF100p" "RDF110p" "RDF115p" "RDF120p" "RDF130p" "Mor02u" "Mor03u" "Mor04u" "Mor05u" "Mor06u" "Mor07u" "Mor10u" "Mor11u" "Mor12u" "Mor13u" "Mor17u" "Mor18u" "Mor19u" "Mor24u" "Mor26u" "Mor30u" "Mor32u" "Mor02m" "Mor03m" "Mor04m" "Mor06m" "Mor07m" "Mor09m" "Mor14m" "Mor16m" "Mor18m" "Mor20m" "Mor21m" "Mor22m" "Mor25m" "Mor26m" "Mor28m" "Mor30m" "Mor01v" "Mor03v" "Mor04v" "Mor06v" "Mor07v" "Mor08v" "Mor11v" "Mor13v" "Mor16v" "Mor18v" "Mor23v" "Mor25v" "Mor26v" "Mor27v" "Mor31v" "Mor03e" "Mor07e" "Mor09e" "Mor10e" "Mor13e" "Mor15e" "Mor17e" "Mor19e" "Mor20e" "Mor21e" "Mor22e" "Mor27e" "Mor28e" "Mor29e" "Mor31e" "Mor32e" "Mor01p" "Mor02p" "Mor03p" "Mor04p" "Mor06p" "Mor08p" "Mor09p" "Mor10p" "Mor11p" "Mor16p" "Mor17p" "Mor19p" "Mor21p" "Mor22p" "Mor26p" "Mor27p" "Mor28p" "Mor31p" "Mor32p" "L2u" "G1u" "E3u" "L3m" "P1m" "P2m" "G2m" "E2m" "L3v" "P2v" "E3v" "L2e" "L3e" "P2e" "E1e" "E2e" "E3e" "L2p" "P1p" "G3p" "E2p" "E3p" "L3s" "G1s" "G2s" "G3s" "E1s" "E2s" "Tm" "Tp" "Ts" "Au" "Ap" "As" "Gu" "Gs" "Ku" "Kp" "Vm" "Vv" "Ve" "HIC" "HGM" "H0u" "H1u" "H2u" "H3u" "H5u" "H7u" "HTu" "HATS0u" "HATS2u" "HATS5u" "H0m" "H1m" "H2m" "H4m" "H5m" "H6m" "HATS0m" "HATS1m" "HATS3m" "HATS4m" "HATS7m" "HATS8m" "HATSm" "H4v" "H5v" "H7v" "HATS0v" "HATS1v" "HATS2v" "HATS6v" "HATS7v" "HATSv" "H0e" "H1e" "H2e" "H3e" "H6e" "HATS2e" "HATS3e" "HATS6e" "HATS8e" "H0p" "H1p" "H4p" "H5p" "H7p" "H8p" "HATS0p" "HATS1p" "HATS3p" "HATS8p" "HATSp" "RARS" "REIG" "R1u" "R2u" "R4u" "R5u" "RTu" "R1u+" "R2u+" "R5u+" "R7u+" "R4m" "R5m" "R6m" "RTm" "R2m+" "R5m+" "R6m+" "RTm+" "R1v" "R6v" "R8v" "R1v+" "R2v+" "R4v+" "R6v+" "R3e" "R4e" "R5e" "R8e" "R2e+" "R3e+" "R4e+" "R5e+" "R2p" "R3p" "R7p" "R8p" "R2p+" "R3p+" "R4p+" "R5p+" "R7p+" "nCq" "nCrs" "nCar" "nCbH" "nCconj" "nR=Cs" "nRCOOR" "nROR" "nCH2RX" "nCHR2X" "nR=CHX" "nHDon" "C-001" "C-002" "C-003" "C-007" "C-009" "C-010" "C-011" "C-015" "C-020" "C-024" "C-025" "C-040" "H-047" "H-048" "H-049" "H-050" "H-054" "O-056" "O-058" "N-077" "F-082" "F-083" "F-085" "Cl-086" "Cl-087" "Cl-090" "Br-092" "Br-093" "qpmax" "qnmax" "Qpos" "Qneg" "Qtot" "RPCG" "TE1" "TE2" "LDI" "TPSA(NO)" "TPSA(Tot)" "MLOGP" "BLTA96" "B01[C-N]" "B01[C-F]" "B01[C-Cl]" "B01[C-Br]" "B01[N-O]" "B02[C-C]" "B02[C-O]" "B02[C-F]" "B02[C-Cl]" "B02[O-O]" "B02[O-F]" "B02[F-F]" "B02[F-Cl]" "B02[Cl-Br]" "B02[Br-Br]" "B03[C-C]" "B03[C-N]" "B03[C-O]" "B03[C-F]" "B03[C-Cl]" "B03[O-F]" "B04[C-C]" "B04[C-Cl]" "B04[F-F]" "B05[C-C]" "B05[F-F]" "B06[C-C]" "B06[C-O]" "F01[C-C]" "F01[C-O]" "F01[C-F]" "F02[C-N]" "F02[C-Cl]" "F02[O-O]" "F02[O-F]" "F02[F-Cl]" "F02[Cl-Cl]" "F02[Cl-Br]" "F03[C-Cl]" "F03[O-Cl]" "F03[F-Br]" "F03[Cl-Cl]" "F04[C-C]" "F04[C-O]" "F04[C-F]" "F04[F-F]" "F05[C-C]" "F05[C-F]" "F08[C-C]" "F09[C-C]"
"1" 0.247 1.7 44.02 16 0.63 0.57 3 3 5 0 0 0 2 1 0 0 0 6 55 1.26 1.201 8 0 2.667 0.577 129 115 2.25 2.5 4 -1.409 5 4 5 3 4 1.133 4.192 5.767 5.709 1.256 1.111 0.057 4.755 6 1.667 2 0 0 0 0 2 1.946 2.565 3.497 3.892 4.174 4.575 33.898 4 8 0 0 0 0 0 0 1.946 0 0 0 1.406 1.946 3.983 1.414 0 0.707 0 0 0.383 0.082 0 0.191 0.082 0 2.707 1.414 0.707 0 0 0 10.253 1.155 3.464 4.755 0.918 0.918 1.5 1.561 2.755 6 0.918 0.662 2.042 0 0.667 0.395 1.585 4.755 1 3 0.631 0.585 -999 -999 -999 -999 -999 -999 -999 1.365 0 0 0 0 0 0.304 0 0 0 0.932 0 0 0 0.516 0.25 0 0 0 -0.25 0 0 0 0 0 0 0 -1 0 0 -0.25 0 0.75 1.5 0 0 0 0 0 0 0 0 0 2 3.618 0 0 0 -0.414 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1.099 0 0 1.099 0 1.099 1.099 5.17 6.439 12.859 14.145 15.431 1.099 1.946 2.708 3.555 4.419 5.293 6.172 7.052 7.933 9.695 10.577 12.339 13.221 1.609 2.197 2.833 3.497 7.625 9.011 9.704 10.397 3.438 1.265 0 0 0 1.038 0 0 0 2.897 0.584 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0.25 0 0 0 0.25 1.414 0.963 0.536 0.535 -1.832 1.392 1.412 1.707 1.719 1.716 1.762 0.569 0.589 1.708 0.569 0.589 1.722 0.574 0.585 1.708 0.569 0.589 1.722 0.585 1.404 1.295 0.013 0.003 0.001 0 0 0 0 0 1.295 0.631 0.133 0.045 0.013 0 0 0 0 0 0.432 2.303 2.488 2.195 0.95 1.196 1 0.96 904.79 4.606 0 0 0 3.316 3.316 1.597 1.597 0 3.301 3.301 0 0 0 0 0.241 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.337 0 0 0 0 0 0 0 0 0 0 0 0.007 0 0 0 0 0 0 0 0 0 0 0.333 0 0.032 0 0 0 0 0 0 0 0.089 0 0 0 0 0 0 0 0 0 0 0 0 1.909 0.43 -0.092 -0.407 -0.249 0.236 -0.106 -0.185 0.022 0.153 -0.063 0.087 0.07 0.071 -0.013 0.032 -0.027 2.812 0.602 -0.13 -0.367 0.353 0.028 0.071 -0.158 0.132 0.003 -0.069 -0.115 0.024 -0.02 -0.037 0.044 1.194 0.197 -0.042 -0.102 0.093 0.093 -0.076 0.062 -0.046 0.033 0.006 0.011 -0.004 -0.024 0.003 0.596 0.35 0.028 -0.15 0.224 -0.035 -0.089 0.099 0.003 -0.068 -0.114 -0.083 -0.036 0.078 -0.002 -0.039 0.959 0.628 0.159 -0.034 -0.082 0.075 0.011 -0.037 -0.061 -0.037 -0.022 0.025 -0.016 -0.027 -0.003 -0.02 -0.011 0.002 -0.009 0 0.387 0 0 1 0 1 0 0 0 0 0 0 0 0.699 0 0 0 1 1 0 0 0 0.387 1 1 0.907 0 0.905 0.838 1.031 0 0 0 0.729 0.729 1 1 0.905 0.84 0.905 1.001 2.864 1 0.007 0 0 0 0 1.014 0.5 0.25 0 1.571 0.009 0 0 0 0 0.787 0 0 0 0 0 1.564 0 0 0 0.185 0 0.089 0 0 0.363 1.556 0.009 0 0 0 0.385 0 0 0 0.297 0.003 0 0 0 0 0.148 0 0 0 0.29 0.153 0.217 0.012 0.217 0 0 0.458 0.006 0.217 0 0 0 0 0 0.709 0.337 0 0 0.337 0.005 0 0 0.003 0.077 0 0 0 0 0 0 0.334 0 0 0 0.062 0 0 0 0.062 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0.357 -0.28 0.357 -0.357 0.713 1 0.84 0.802 0.535 54.46 54.46 -2.403 1.17 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2" 2.653 9.57 72.17 8.5 0.51 0.56 17 5 4 0 0.125 12 0 0 0 0 0 14 12 1.516 0.693 10 0 8 0.5 74 44 5.035 6.417 20 -3.876 35 20 35 10 20 20 20 2.191 2.191 2.191 0.212 3.31 7.61 24 3.2 6 0 0 0 0 4 2.708 3.761 5.38 5.938 6.475 7.034 52.65 8 20 0 0 2 1 0 0 1.386 0.693 0 0 1 0 5.614 2.414 0.354 0.604 0.354 0 2.414 1.354 0.707 0.604 0.451 0.354 4.121 2.414 1.354 0.707 0.354 0 14.485 1.509 10.69 69.487 0.874 1.846 3.146 2.291 18.464 62.929 0.971 1.049 0.853 2.34 3.213 0.218 1.16 19.712 2.027 34.467 0.496 2.06 2.352 1.736 0.527 0.539 1.459 24.806 0.365 1.609 1.099 0.693 0 0 0 1.386 1.099 0.693 0 1.386 1.099 0.693 0 1.609 1.386 1.099 0 0 1 1 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3.414 2.618 0 0 0 0.618 -0.618 -1.618 0 0 0 0 2.618 1.618 -0.618 0 0 0 0 0 3.611 0 0 5.509 0 6.469 7.431 4.007 4.905 9.632 10.592 11.552 0 1.946 0 2.708 0 3.611 0 4.554 0 0 6.469 7.431 0 2.398 3.135 4.007 4.905 10.592 12.513 13.475 14.437 3.402 2.899 1.596 1.186 0.083 1.864 1.143 0 0 3.44 2.955 0.298 0.298 0.298 1.459 1.011 0.373 0 0 2.597 0.941 0.941 0 2.347 1.379 0.38 0.962 0.306 0 0.5 0 0 0 0.125 0.074 0.063 0 0.262 1.732 8.288 0 0 0 16.576 16.576 2.155 3.631 2.204 3.693 0.441 0.739 2.204 0.441 0.739 2.204 0.441 0.739 2.204 0.441 0.739 2.204 0.739 2.441 2.861 1.764 1.267 0.799 0.079 0.003 0 0 0 2.861 3.042 2.613 2.227 1.764 0.431 0.079 0.029 0.01 0.001 0.572 15.931 3.807 2.558 1.946 3.422 0.696 0.964 10.93 32.123 0 0 2.539 20.92 22.086 34.499 36.417 19.542 75.142 79.309 8.418 0 0 0 2.881 3.952 1.443 5.295 1.821 1.007 2.95 0.419 1.877 0 0 0 0 0 0 0 0.242 0.153 0.239 0.121 0 0 0 0 0 0 0 3.951 4.561 0.478 0.417 0.091 0.003 0 0 0 0 0 0 2.713 1.346 18.449 1.714 0 0 0 0 0 0 1.097 3.952 0.485 0.133 0.061 0 0 0 0 0 0 0 0 23.391 -5.111 1.979 -2.754 -1.192 0.458 -0.853 -1.045 -0.388 0.735 -0.887 -0.515 1.283 0.443 0.188 0.374 -0.058 4.147 -0.29 -0.5 0.353 0.237 -0.05 0.265 -0.113 0.019 -0.056 -0.172 0.057 -0.083 -0.01 -0.063 -0.022 33.831 -0.764 -0.15 -0.053 0.357 0.107 -0.047 0.167 -0.111 -0.034 -0.113 0.035 -0.023 0.078 0.224 -4.587 0.467 0.681 -0.757 0.705 -0.469 -0.836 1.201 0.411 -1.044 0.365 -0.007 -0.514 -0.037 0.366 -0.062 42.408 9.386 -1.05 0.02 -0.201 0.241 0.027 -0.051 -0.127 -0.097 -0.385 0.531 -0.405 0.106 -0.019 0.066 -0.177 0.255 -0.036 0.737 1 0.588 0.114 0.889 0.081 0.197 0.115 0.284 0.112 0.206 0.727 0.472 0.136 0.554 0.641 0.567 0.555 0.813 1 0.374 0.269 0 1 0.301 1 0.34 0.035 3.79 4.701 3.413 5.414 3.542 0.554 0.581 0.67 0.66 0.719 5.366 8.163 12.059 3.875 13.699 3 1.083 0.828 0.918 0 0 11.159 0.651 0.666 0.805 0.31 0.148 0.039 0.008 0 0.001 0.027 0.025 0.026 0.027 0 0 0.269 0.097 0 0 0.079 0.063 0.104 0.044 0 1.211 2.694 1.024 0.749 0.831 0.146 0.602 1.016 0.435 0 0.683 0.451 0.157 0 0 0 0.114 0.078 0.201 0 1.747 0.945 0.998 1.349 1.975 1.458 0.78 16.062 0.142 0.145 0.058 0 0.052 0.018 0.003 0.974 0.018 0.003 0 0.044 0.482 0.033 0 0.044 0.021 0.019 0.005 1.891 1.311 0.701 0 0.129 0.088 0.085 0.051 0.511 0.435 0 0 0.027 0.018 0.019 0.012 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.079 -0.21 0.897 -0.897 1.793 0.088 4.16 2.529 0.201 0 0 3.138 -4.37 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"3" 3.109 11.33 86.2 10 0.51 0.57 20 6 5 0 0.158 14 0 0 0 0 0 18 16 1.587 0.601 12 0 11.667 0.483 128 85 6.498 8.7 35 -5.543 70 35 70 15 35 35 35 2.339 2.339 2.339 0.232 5.254 9.51 38 4 9 0 0 0 0 5 2.944 4.078 5.826 6.415 7.002 7.591 58.249 10 26 0 0 3 2 1 0 1.609 1.099 0.693 0 1 0 6.509 2.914 0.5 0.583 0.25 0.25 2.914 1.707 0.957 0.583 0.427 0.25 4.828 2.914 1.707 0.957 0.5 0.25 17.485 1.678 15.052 86.439 0.881 2.149 3.704 2.553 32.239 129.651 0.918 1.148 0.737 1.958 3.441 0.207 1.157 23.136 2.046 40.929 0.474 2.275 2.446 1.875 0.566 0.576 2.197 43.943 0.517 1.792 1.386 1.099 0.693 0 0 1.609 1.386 1.099 0 1.609 1.386 1.099 0.693 1.792 1.609 1.386 0 0 1 1 0 0 1 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 4.121 2.732 0 0 0 1 0 -1 0 0 0 0 2.732 2 0 0 0 0 0 0 4.043 0 0 6.192 0 7.287 8.384 4.304 5.226 10.094 11.087 12.084 0 2.197 0 3.045 0 4.043 0 5.106 0 0 7.287 8.384 0 2.639 3.401 4.304 5.226 11.087 13.083 14.083 15.085 3.446 3.05 1.914 1.432 0.083 1.887 1.298 0.529 0 3.482 3.099 1.287 0.298 0.298 1.552 1.179 0.51 0.35 0 2.813 1.749 0.941 0 2.599 1.602 0.38 1.135 0.447 0 0.5 0.08 0 0 0.1 0.056 0.042 0 0.237 1.802 12.109 0 0 0 24.219 24.219 2.342 4.609 2.412 4.67 0.402 0.778 2.412 0.402 0.778 2.412 0.402 0.778 2.412 0.402 0.778 2.412 0.778 2.78 3.381 3.375 2.969 2.489 0.899 0.098 0.013 0.004 0.001 3.381 3.948 3.899 3.689 3.375 1.956 0.899 0.496 0.236 0.037 0.563 18.971 4.844 3.129 2.295 4.038 0.779 0.733 16.22 38.247 0 0 2.977 35.66 36.991 56.763 58.944 23.172 119.923 124.651 9.961 0 0 0 3.332 4.935 1.724 7.049 1.821 1.575 7.194 0.342 2.451 0.561 0 0 0 0 0 0 0.28 0.153 0.37 0.129 0.348 0 0.004 0 0 0 0 4.935 5.917 0.636 0.651 0.112 0.127 0.05 0 0 0 0 0 3.138 1.61 22.949 1.714 3.798 0 0 0 0 0 1.269 4.935 0.758 0.165 0.05 1.52 0.081 0 0 0 0 0 0 27.236 -6.14 3.336 -3.303 -1.015 0.491 -0.797 -1.115 -0.519 0.791 -1.12 -0.647 1.489 0.627 0.23 0.4 0.014 4.908 -0.394 -0.558 0.491 0.252 -0.032 0.336 -0.135 0.025 -0.074 -0.209 0.069 -0.108 -0.009 -0.084 -0.027 48.238 -0.98 0.003 0.086 0.379 0.078 0.002 0.175 -0.127 -0.041 -0.148 0.026 -0.026 0.112 0.272 -5.522 0.499 0.966 -0.698 0.762 -0.502 -1.054 1.392 0.551 -1.258 0.479 0.038 -0.658 -0.054 0.417 0.003 60.168 11.005 -1.326 0.273 -0.059 0.231 0.1 0.023 -0.082 -0.108 -0.481 0.622 -0.49 0.136 -0.021 0.102 -0.232 0.308 -0.02 0.738 1 0.6 0.115 0.921 0.057 1 0.111 0.287 0.083 0.207 0.727 0.481 0.104 0.551 0.649 0.578 0.55 0.86 1 0.373 0.271 0 1 1 1 0.372 0.032 5.268 6.269 4.898 7.469 4.919 0.762 1 1 0.738 0.79 7.479 11.15 16.313 4.113 11.844 3 1.107 0.959 1.225 0.076 0 13.126 0.551 0.572 0.712 0.323 0.172 0.089 0.009 0.001 0.003 0.025 0.024 0.021 0.023 0.003 0 0.282 0.115 0.007 0 0.068 0.057 0.094 0.077 0.032 1.232 2.695 1.048 0.877 1.114 0.365 0.518 0.905 0.552 0 0.695 0.475 0.186 0.011 0 0 0.098 0.07 0.179 0 1.77 0.886 0.935 1.378 2.003 1.562 0.888 17.722 0.124 0.121 0.049 0.033 0.06 0.037 0.013 1.126 0.014 0.014 0.002 0.044 0.505 0.076 0 0.044 0.019 0.013 0.006 1.987 1.404 0.801 0 0.108 0.076 0.066 0.044 0.54 0.462 0.036 0 0.024 0.017 0.013 0.014 0.005 0 0 0 0 0 0 0 0 0 0 0 0 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.079 -0.21 1.054 -1.054 2.108 0.074 4.997 2.905 0.194 0 0 3.516 -4.75 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0
"4" 3.565 13.09 100.23 11.5 0.51 0.57 23 7 6 0 0.182 16 0 0 0 0 0 22 20 1.641 0.537 14 0 16 0.471 204 146 7.99 11.15 56 -7.498 126 56 126 21 56 56 56 2.447 2.447 2.447 0.246 7.634 13.651 54 4.714 12 0 0 0 0 6 3.135 4.317 6.142 6.758 7.368 7.985 62.874 12 32 0 0 4 3 2 0 1.792 1.386 1.099 0 1 0 7.435 3.414 0.677 0.569 0.226 0.177 3.414 2.061 1.207 0.569 0.412 0.226 5.536 3.414 2.061 1.207 0.677 0.354 20.485 1.84 19.782 104.042 0.887 2.398 4.169 2.774 50.364 233.463 0.863 1.222 0.666 1.73 3.637 0.199 1.149 26.432 2.024 46.558 0.447 2.499 2.566 1.957 0.62 0.629 2.664 61.261 0.597 1.946 1.609 1.386 1.099 0 0 1.792 1.609 1.386 0.693 1.792 1.609 1.386 1.099 1.946 1.792 1.609 0.693 0 1 1 1 0 1 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 4.828 2.802 0 0 0 1.247 0.445 -0.445 -1.802 0 0 0 2.802 2.247 0.555 -0.802 0 0 0 0 4.344 0 0 6.608 0 7.772 8.943 4.533 5.468 10.409 11.419 12.432 0 2.398 0 3.296 0 4.344 0 5.46 0 0 7.772 8.943 0 2.833 3.611 4.533 5.468 11.419 13.449 14.469 15.491 3.477 3.155 2.181 1.695 0.083 1.903 1.415 0.622 0 3.512 3.2 1.458 1.265 0.298 1.619 1.306 0.656 0.451 0 2.976 1.882 0.941 0 2.787 1.841 0.38 1.266 0.599 0.268 0.5 0.08 0 0 0.083 0.044 0.031 0.028 0.213 1.848 16.625 0 0 0 33.251 33.251 2.514 5.593 2.604 5.652 0.372 0.807 2.604 0.372 0.807 2.604 0.372 0.807 2.604 0.372 0.807 2.604 0.807 3.072 3.828 4.758 4.496 4.145 2.656 0.927 0.239 0.1 0.038 3.828 4.714 4.979 4.923 4.758 3.715 2.656 2.062 1.467 0.507 0.547 22.046 5.903 3.698 2.645 4.666 0.824 0.998 20.81 44.438 0 0 3.594 55.747 57.419 86.493 89.257 27.544 178.516 184.548 11.876 0 0 0 3.784 5.913 2.011 8.801 1.821 2.163 11.015 0.419 2.389 0.012 3.175 0 0.03 0 0 0 0.318 0.153 0.503 0.127 0.702 1.108 0 0.116 0 0 0 5.913 7.272 0.793 0.89 0.128 0.136 0.001 0 0 0 0 0 3.563 1.879 27.452 1.714 7.864 0 0 0 0 0 1.44 5.913 1.038 0.193 0.061 3.087 0.002 0.004 0 0 0 0 0 31.92 -7.527 4.582 -3.873 -0.704 0.887 -0.752 -1.122 -0.551 0.886 -1.312 -0.734 1.62 0.792 0.274 0.405 0.065 5.837 -0.467 -0.65 0.626 0.299 -0.025 0.409 -0.159 0.038 -0.096 -0.248 0.087 -0.137 -0.01 -0.101 -0.034 65.198 -1.217 0.091 0.241 0.477 0.072 0.06 0.206 -0.135 -0.041 -0.181 0.014 -0.03 0.147 0.317 -6.779 0.863 0.996 -0.652 0.857 -0.571 -1.233 1.517 0.623 -1.5 0.588 0.083 -0.79 -0.062 0.471 0.046 81.03 12.966 -1.649 0.451 0.106 0.242 0.105 0.072 -0.024 -0.108 -0.56 0.7 -0.577 0.176 -0.023 0.138 -0.283 0.358 -0.013 0.772 1 0.609 0.115 0.938 0.045 0.181 0.115 0.29 0.067 0.207 0.761 0.487 0.086 0.554 0.67 0.586 0.575 0.888 1 0.383 0.272 0 1 0.263 1 0.399 0.036 6.995 8.076 6.63 10.056 6.695 1.135 0.566 0.64 0.786 0.832 10.097 14.828 21.527 4.307 10.3 3 1.148 1.027 1.43 0.108 0 15.083 0.485 0.503 0.641 0.338 0.191 0.132 0.013 0.001 0.004 0.024 0.023 0.019 0.018 0.011 0.002 0.297 0.148 0.01 0 0.062 0.054 0.086 0.082 0.064 1.256 2.697 1.087 0.942 1.308 0.559 0.456 0.797 0.507 0.263 0.708 0.501 0.238 0.016 0 0.013 0.088 0.066 0.16 0.043 1.795 0.831 0.878 1.406 2.012 1.647 0.951 19.103 0.12 0.115 0.041 0.03 0.06 0.044 0.029 1.257 0.015 0.01 0.012 0.044 0.522 0.104 0.018 0.044 0.018 0.01 0.012 2.035 1.481 0.858 0.176 0.102 0.069 0.059 0.036 0.558 0.482 0.082 0.029 0.022 0.015 0.01 0.01 0.007 0 0 0 0 0 0 0 0 0 0 0 0 2 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.079 -0.21 1.212 -1.212 2.424 0.065 5.845 3.281 0.189 0 0 3.869 -5.1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 2 0 0 0
