0 0 0 0 0;;;;HATS1p    ;3;;
0 1 0 0 0;;;;;;;
0 0 0 0 0;;;;;;;
0 1 0 0 0;;;;HATS2m      ;1;;
0 0 0 0 0;;;;HATS3v      ;3;;
0 0 0 0 0;;;;;;;
0 0 0 0 1;;;;;;;
0 0 0 0 0;;;;HATS5u      ;1;;
0 0 0 0 0;;;;HATS6v    ;1;;
0 0 0 0 0;;;;HATS8u      ;1;;
0 1 1 0 0;;;;HGM       ;3;;
0 0 0 0 0;;;;;;;
0 0 0 0 0;;;;;;;
0 0 0 0 0;;;;HOMT        ;1;;
0 0 0 0 0;;;;IC1;1;;
0 1 0 0 0;;;;JGI2      ;1;;
0 0 0 0 0;;;;JGI3;3;;
0 0 0 0 0;;;;;;;
0 0 0 0 0;;;;;;;
0 0 0 0 0;;;;Jhetv;1;;
1 0 0 0 0;;;;JhetZ;3;;
0 0 0 0 0;;;;;;;
0 1 0 0 0;;;;;;;
0 0 0 0 1;;;;Kp        ;1;;
0 0 0 0 0;;;;Kv          ;1;;
0 0 0 0 0;;;;LPRS        ;1;;
0 1 0 0 0;;;;MATS3m    ;1;;
0 0 0 0 0;;;;MATS6m;3;;
0 0 0 0 0;;;;;;;
0 0 0 0 0;;;;;;;
0 0 0 0 0;;;;MAXDN;1;;
0 1 0 0 0;;;;Me;2;;
0 0 0 0 0;;;;;;;
0 0 0 0 0;;;;MEcc        ;1;;
0 0 0 0 0;;;;Mor01e      ;3;;
0 0 0 0 0;;;;;;;
1 0 0 0 0;;;;;;;
0 0 0 0 0;;;;Mor01m      ;1;;
0 0 0 0 0;;;;Mor02e      ;3;;
0 0 0 0 0;;;;;;;
0 0 0 0 0;;;;;;;
0 0 0 0 0;;;;Mor02v;1;;
0 0 0 1 0;;;;Mor04m;1;;
0 0 1 0 1;;;;Mor11m      ;1;;
0 0 0 0 0;;;;Mor11u      ;1;;
0 0 0 0 0;;;;Mor11v;1;;
0 0 0 0 0;;;;Mor13p    ;1;;
0 0 0 0 0;;;;Mor15p      ;1;;
0 0 0 0 0;;;;Mor16m    ;1;;
0 0 0 0 0;;;;Mor16v      ;3;;
0 0 0 0 0;;;;;;;
0 0 0 0 1;;;;;;;
0 0 0 0 0;;;;Mor18p      ;3;;
0 0 0 0 1;;;;;;;
0 0 0 0 0;;;;;;;
0 0 0 0 0;;;;Mor19u      ;3;;
0 0 0 0 0;;;;;;;
0 0 0 0 0;;;;;;;
0 0 0 0 0;;;;Mor19v      ;1;;
0 0 0 0 0;;;;Mor20m      ;4;;
0 0 0 0 0;;;;;;;
0 0 1 0 0;;;;;;;
0 0 0 0 0;;;;;;;
0 0 0 0 0;;;;Mor22m      ;1;;
1 0 0 0 0;;;;Mor23u      ;3;;
0 0 0 0 0;;;;;;;
0 0 1 0 0;;;;;;;
0 0 0 0 0;;;;Mor24p      ;1;;
0 0 0 0 0;;;;Mor26e    ;3;;
0 0 0 0 0;;;;;;;
0 0 0 0 0;;;;;;;
0 0 0 0 0;;;;Mor29p      ;3;;
1 1 0 0 0;;;;;;;
0 0 0 0 0;;;;;;;
0 0 0 0 0;;;;Mor29u;4;;
0 0 0 0 1;;;;;;;
0 0 0 0 1;;;;;;;
0 0 0 0 0;;;;;;;
0 0 0 1 0;;;;Mor30m    ;3;;
0 0 0 0 0;;;;;;;
0 0 0 0 0;;;;;;;
0 0 0 0 0;;;;Mor31e;1;;
0 1 0 0 0;;;;MPC03     ;1;;
0 0 0 0 0;;;;Ms;1;;
0 0 0 0 0;;;;MSD         ;1;;
0 0 0 0 0;;;;Mv;1;;
0 0 0 0 0;;;;nAB         ;1;;
0 0 0 0 0;;;;nBM;3;;
0 0 0 1 0;;;;;;;
0 0 0 0 1;;;;;;;
0 0 0 0 0;;;;nBnz;3;;
0 0 0 0 0;;;;;;;
0 0 1 0 0;;;;;;;
0 1 0 0 0;;;;nBT;3;;
0 0 0 0 1;;;;;;;
0 0 0 0 0;;;;;;;
0 0 0 0 1;;;;nC;3;;
0 0 0 0 0;;;;;;;
0 0 0 1 0;;;;;;;
0 0 0 1 0;;;;nCbH      ;3;;
0 0 0 0 0;;;;;;;
0 0 0 0 0;;;;;;;
0 0 0 0 0;;;;nCHRX2      ;1;;
0 0 1 0 0;;;;NCIC;1;;
0 0 0 0 0;;;;nDB       ;1;;
0 0 0 0 0;;;;nF          ;1;;
0 0 0 0 0;;;;nH;3;;
0 0 0 0 0;;;;;;;
0 0 0 0 0;;;;;;;
0 0 0 0 0;;;;nHAcc     ;1;;
0 0 0 0 0;;;;nO          ;1;;
0 0 0 1 0;;;;nR=Cs       ;1;;
0 0 0 0 0;;;;nR03      ;;;
0 0 0 0 0;;;;O-060     ;3;;
0 0 0 0 0;;;;;;;
0 0 0 0 0;;;;;;;
0 0 0 0 0;;;;P2u         ;3;;
0 0 0 0 0;;;;;;;
0 1 0 0 0;;;;;;;
1;;;;PCWTe       ;3;;
;;;;;;;
