"SMTIV" "MPC07" "X3A" "IC2" "EEig09r" "BEHm4" "RCI" "Mor25p" "H3e" "C-007"
"121" 1515.161 6 0.203 2.79 -0.526 2.617 1.4 0.398 0.775 0
"122" 180 0 0.25 2.281 0 0.683 1.448 0.031 0.141 0
"7" 604 3 0.28 1.906 -0.902 2.714 0 0.027 1.734 0
"12" 416 2 0.273 2.496 0 2.407 0 0.141 1.33 0
"15" 242 0 0.204 2.11 0 2.331 0 0.275 0.807 0
"19" 132 0 0.25 0.918 0 1.455 0 0.127 1.361 0
"28" 511 2 0.285 3.024 0 2.559 0 0.1 1.385 0
"29" 694 3 0.28 2.914 -0.902 2.713 0 0.092 1.502 0
"31" 114 0 0.408 2.719 0 1.195 0 0.238 0.217 0
"33" 3.383 0 0 0.811 0 0.083 0 0.009 0 0
"36" 56.198 0 0 0 0 2.951 0 -0.134 0 0
"37" 14.938 0 0 2.156 0 0.083 0 0.058 0.089 0
"39" 34.543 0 0.5 1.5 0 1.206 0 0.015 0.193 0
"40" 58.148 0 0 1.811 0 2.422 0 0.02 0.016 0
"47" 34.494 0 0 1.868 0 0.99 0 0.101 0.314 0
"54" 11.783 0 0 1.5 0 0.083 0 0.003 0 1
"67" 124.642 0 0.333 0.918 0 2.951 0 0.149 0.068 0
"68" 25.845 0 0 2.252 0 0.083 0 0.058 0.032 0
"73" 138 0 0.354 2.923 0 1.46 0 0.079 0.716 0
"82" 309 0 0.236 2.971 0 2.225 0 0.082 0.716 0
"86" 405 0 0.284 3.293 0 2.046 0 0.179 1 0
"90" 743 2 0.273 3.349 0 2.331 0 0.145 1.346 0
"92" 130 0 0.354 2.073 0 1.596 0 0.19 0.714 0
"96" 180 0 0.354 2.187 0 1.047 0 0.146 0.407 0
"102" 1587.383 0 0.227 3.252 -1.012 2.082 0 0.077 0.669 0
"103" 1646.049 0 0.23 3.022 -1.011 1.888 0 0.142 0.546 0
"106" 340 0 0.289 2.873 0 1.331 0 0.038 0.75 0
"107" 318 0 0.333 2.2 0 1.331 0 0.06 0.327 0
"110" 294 0 0.237 2.366 0 2.072 1.4 0.436 0.618 0
"113" 386 0 0.22 2.53 0 2.137 1.4 0.5 0.668 0
"120" 290.272 0 0.237 2.055 0 2.203 1.399 0.422 0.762 0
